Id_Producto;PVP;Id_Proveedor;Fecha
10861;297550;8;2016-05-23
10861;297550;8;29/06/16 08:34
10279;256150;8;29/06/16 08:48
11539;255200;8;06/07/16 08:37
13923;254400;8;29/06/16 08:46
877;247200;8;29/06/16 08:52
9711;235250;8;06/07/16 09:13
10915;231900;8;23/06/16 14:54
