ICR;ESTADO
AAA436;Devolucion
AAA437;Devolucion
AAA438;Devolucion
AAA439;Devolucion
AAA440;Devolucion
AAA441;Devolucion
AAA442;Devolucion
AAA443;Devoluciona
AAC474;Devolucion
AAC475;Devolucion
AAC476;Devolucion
